epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.27612,3.77304,4.74656,9.6424,2.5334,0,0.12362,0.06667,0.01328,0.00143,0.10423,0.06667,0.00816,0.00234,3.28502,4.92829,6.00057,2.48552,0,0.00194595,0.000648649,0.00194595,0.000648649,0.00194595,0.000648649,0.00194595,0.000648649
2,8.54101,3.82537,4.64891,9.28576,2.54372,0,0.14568,0.06667,0.01377,0.00278,0.00106,0.06667,0.00152,0.00032,3.3781,5.12147,6.19759,2.46596,0,0.00386782,0.00128927,0.00386782,0.00128927,0.00386782,0.00128927,0.00386782,0.00128927
3,12.2761,3.72749,4.72385,6.8318,2.44959,0,0.00914,0.06667,0.00453,0.00112,0.00345,0.26667,0.00204,0.00033,3.65703,5.35107,5.95244,2.57804,0,0.00571049,0.0019035,0.00571049,0.0019035,0.00571049,0.0019035,0.00571049,0.0019035
4,16.7101,3.43826,4.40829,5.42261,2.36446,0,0.02918,0.06667,0.01073,0.00344,0.0296,0.06667,0.01039,0.00137,3.25703,4.81795,6.00129,2.39724,0,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,21.209,3.11333,3.83042,4.65428,2.20875,0,0.00407,0.33333,0.00291,0.00082,0.01092,0.26667,0.00764,0.00116,3.29398,4.89851,5.18047,2.51847,0,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,25.3084,2.89133,3.58871,4.15028,2.09565,0,0.01751,0.26667,0.01438,0.00703,0.05102,0.26667,0.02782,0.0059,3.26339,4.51371,5.96399,2.26892,0,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,29.7342,2.77966,3.75494,3.39488,2.08726,0,0.04623,0.13333,0.02384,0.00934,0.04623,0.13333,0.02668,0.00669,2.43786,4.30857,4.26391,1.93336,0,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,34.1764,2.65158,3.38533,3.08771,2.05501,0,0.30949,0.06667,0.05629,0.01607,0.30949,0.06667,0.05352,0.01653,2.5998,4.12884,4.25936,1.98759,0,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,38.7141,2.42388,3.38462,2.76871,1.8821,0,0.19567,0.33333,0.17585,0.07502,0.19911,0.33333,0.17858,0.06301,2.68089,4.12933,2.98917,1.97133,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,43.1071,2.38669,3.2675,2.75652,1.91427,0,0.22661,0.2,0.13118,0.04524,0.25094,0.13333,0.10138,0.03245,2.66074,4.01189,2.97353,2.08682,0,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
