epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.41109,3.66085,4.46145,10.1539,2.62834,0,0.0495,0.06667,0.00754,0.00087,0.02698,0.06667,0.00509,0.00058,3.30492,4.38918,5.44107,2.52488,0,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05
2,6.06614,3.57788,4.62574,10.4668,2.5073,0,0.23303,0.06667,0.04298,0.00491,0.02861,0.06667,0.00584,0.0013,3.17749,4.37183,5.4859,2.44071,0,0.000535545,0.000178515,0.000535545,0.000178515,0.000535545,0.000178515,0.000535545,0.000178515
3,9.49962,3.549,4.45053,8.89274,2.54515,0,0.00617,0.06667,0.00327,0.00063,0.01235,0.13333,0.00863,0.00207,2.95903,4.25955,5.3097,2.35256,0,0.00082614,0.00027538,0.00082614,0.00027538,0.00082614,0.00027538,0.00082614,0.00027538
4,12.6113,3.41767,4.63577,6.8399,2.50393,0,0.01163,0.06667,0.00384,0.0008,0.03758,0.06667,0.0053,0.00096,2.67277,4.28779,6.03941,2.31432,0,0.00111178,0.000370595,0.00111178,0.000370595,0.00111178,0.000370595,0.00111178,0.000370595
5,15.7622,3.27977,4.23139,5.69375,2.38401,0,0.00339,0.13333,0.00459,0.00114,0.02275,0.06667,0.00683,0.00125,2.50724,4.38516,5.71311,2.19647,0,0.00139248,0.00046416,0.00139248,0.00046416,0.00139248,0.00046416,0.00139248,0.00046416
6,18.7132,3.01009,4.25894,4.90423,2.23275,0,0.02272,0.13333,0.01098,0.00246,0.0059,0.13333,0.00482,0.00143,2.27394,4.5647,5.4337,2.1668,0,0.00166822,0.000556075,0.00166822,0.000556075,0.00166822,0.000556075,0.00166822,0.000556075
7,21.7644,2.82626,3.64914,4.27564,2.16183,0,0.07144,0.33333,0.0366,0.01225,0.03257,0.33333,0.02261,0.00727,2.27342,4.24774,4.25795,2.05378,0,0.00193902,0.00064634,0.00193902,0.00064634,0.00193902,0.00064634,0.00193902,0.00064634
8,25.0552,2.63012,3.56929,3.71984,2.10649,0,0.01026,0.4,0.01145,0.00425,0.01069,0.06667,0.01064,0.00362,2.22868,3.96495,4.26319,2.05931,0,0.00220487,0.000734955,0.00220487,0.000734955,0.00220487,0.000734955,0.00220487,0.000734955
9,28.0492,2.2751,3.26189,3.23594,1.86915,0,0.73144,0.06667,0.10369,0.02553,0.73144,0.06667,0.1008,0.03102,2.23971,4.09427,3.77087,2.04515,0,0.00246576,0.00082192,0.00246576,0.00082192,0.00246576,0.00082192,0.00246576,0.00082192
10,31.3622,2.35422,3.31367,3.27236,1.87029,0,1,0.12948,0.19304,0.04473,1,0.12948,0.17361,0.04791,2.39477,4.47976,3.31275,2.0731,0,0.00272171,0.000907235,0.00272171,0.000907235,0.00272171,0.000907235,0.00272171,0.000907235
11,34.5781,2.24169,2.97966,2.78188,1.73547,0,0.2711,0.4,0.20889,0.06822,0.21479,0.26667,0.16764,0.06254,2.36573,4.46319,2.72252,1.71924,0,0.0029727,0.0009909,0.0029727,0.0009909,0.0029727,0.0009909,0.0029727,0.0009909
12,37.8661,2.17683,3.20085,2.58467,1.74727,0,0.19035,0.28266,0.20426,0.07647,0.76024,0.13333,0.21159,0.07451,2.4405,4.46055,2.49973,1.73961,0,0.00321875,0.00107292,0.00321875,0.00107292,0.00321875,0.00107292,0.00321875,0.00107292
13,41.1117,2.0959,3.10638,2.38652,1.62905,0,0.2673,0.33333,0.26366,0.09014,0.21224,0.26667,0.16224,0.05679,2.237,4.33397,2.45118,1.66035,0,0.00345984,0.00115328,0.00345984,0.00115328,0.00345984,0.00115328,0.00345984,0.00115328
14,44.035,1.96123,2.80223,2.22278,1.61229,0,0.29444,0.46667,0.33807,0.1337,0.31863,0.43726,0.28395,0.09872,2.14114,3.96655,2.18568,1.60181,0,0.00369598,0.001232,0.00369598,0.001232,0.00369598,0.001232,0.00369598,0.001232
